gbifID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,countryCode,decimalLatitude,decimalLongitude,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,catalogNumber,recordNumber,license,rightsHolder,recordedBy
2859436941,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Acer,Acer rubrum,,SPECIES,Acer rubrum L.,CA,,,1935-07-25T00:00:00,25,7,1935,3189883,3189883,PRESERVED_SPECIMEN,CM,CM184500,132,CC0_1_0,Carnegie Museum of Natural History,Boardman
2859436898,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Acer,Acer rubrum,trilobum,VARIETY,Acer rubrum var. trilobum Torr. & Gray ex K.Koch,US,40.84395,-80.0732,,,,,4272376,3189883,PRESERVED_SPECIMEN,CM,CM063470,s.n.,CC0_1_0,Carnegie Museum of Natural History,Henry
2859436897,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Acer,Acer rubrum,,SPECIES,Acer rubrum L.,US,41.352233,-78.222545,1904-07-19T00:00:00,19,7,1904,3189883,3189883,PRESERVED_SPECIMEN,CM,CM063452,s.n.,CC0_1_0,Carnegie Museum of Natural History,Jennings
2859436893,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Acer,Acer rubrum,,SPECIES,Acer rubrum L.,US,40.4324,-79.69234,1930-05-18T00:00:00,18,5,1930,3189883,3189883,PRESERVED_SPECIMEN,CM,CM063365,1406,CC0_1_0,Carnegie Museum of Natural History,Van Dersal
2859436892,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Acer,Acer rubrum,,SPECIES,Acer rubrum L.,US,40.260627,-79.279478,1912-06-08T00:00:00,8,6,1912,3189883,3189883,PRESERVED_SPECIMEN,CM,CM063347,s.n.,CC0_1_0,Carnegie Museum of Natural History,Jennings
2859436889,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Acer,Acer rubrum,,SPECIES,Acer rubrum L.,US,41.549122,-80.37632,1919-05-30T00:00:00,30,5,1919,3189883,3189883,PRESERVED_SPECIMEN,CM,CM063302,s.n.,CC0_1_0,Carnegie Museum of Natural History,Jennings
2859436888,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Acer,Acer rubrum,,SPECIES,Acer rubrum L.,US,40.6366,-80.08257,1922-08-29T00:00:00,29,8,1922,3189883,3189883,PRESERVED_SPECIMEN,CM,CM063283,s.n.,CC0_1_0,Carnegie Museum of Natural History,Jennings
2859436887,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Acer,Acer rubrum,,SPECIES,Acer rubrum L.,US,40.5363,-79.96742,1915-06-02T00:00:00,2,6,1915,3189883,3189883,PRESERVED_SPECIMEN,CM,CM063264,s.n.,CC0_1_0,Carnegie Museum of Natural History,Bright
2859436886,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Acer,Acer rubrum,,SPECIES,Acer rubrum L.,US,39.87206,-77.54367,1919-04-22T00:00:00,22,4,1919,3189883,3189883,PRESERVED_SPECIMEN,CM,CM063226,s.n.,CC0_1_0,Carnegie Museum of Natural History,Jennings
2859436051,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Acer,Acer rubrum,,SPECIES,Acer rubrum L.,US,35.685473,-82.899772,1980-05-11T00:00:00,11,5,1980,3189883,3189883,PRESERVED_SPECIMEN,CM,CM265425,4584,CC0_1_0,Carnegie Museum of Natural History,WOOD
2859436041,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Acer,Acer rubrum,,SPECIES,Acer rubrum L.,US,38.273985,-79.300518,1979-05-19T00:00:00,19,5,1979,3189883,3189883,PRESERVED_SPECIMEN,CM,CM257902,4194,CC0_1_0,Carnegie Museum of Natural History,Wood
2859435944,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Acer,Acer rubrum,trilobum,VARIETY,Acer rubrum var. trilobum Torr. & Gray ex K.Koch,US,,,1947-05-29T00:00:00,29,5,1947,4272376,3189883,PRESERVED_SPECIMEN,CM,CM184592,s.n.,CC0_1_0,Carnegie Museum of Natural History,Fisher
2859435943,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Acer,Acer rubrum,,SPECIES,Acer drummondii Hook. & Arn. ex Nutt.,US,35.318728,-82.460953,1923-05-26T00:00:00,26,5,1923,3768557,3189883,PRESERVED_SPECIMEN,CM,CM184561,s.n.,CC0_1_0,Carnegie Museum of Natural History,Bright
2859435942,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Acer,Acer rubrum,,SPECIES,Acer rubrum L.,US,39.296418,-80.889436,1958-06-15T00:00:00,15,6,1958,3189883,3189883,PRESERVED_SPECIMEN,CM,CM184552,D-43,CC0_1_0,Carnegie Museum of Natural History,Bartholomew
2859435939,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Acer,Acer rubrum,,SPECIES,Acer rubrum L.,US,,,1937-04-03T00:00:00,3,4,1937,3189883,3189883,PRESERVED_SPECIMEN,CM,CM184497,s.n.,CC0_1_0,Carnegie Museum of Natural History,Bailey
2859435898,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Acer,Acer rubrum,,SPECIES,Acer rubrum L.,US,41.238457,-77.931422,1952-08-02T00:00:00,2,8,1952,3189883,3189883,PRESERVED_SPECIMEN,CM,CM063449,s.n.,CC0_1_0,Carnegie Museum of Natural History,Henry
2859435897,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Acer,Acer rubrum,,SPECIES,Acer rubrum L.,US,41.357149,-78.267477,1904-07-19T00:00:00,19,7,1904,3189883,3189883,PRESERVED_SPECIMEN,CM,CM063430,s.n.,CC0_1_0,Carnegie Museum of Natural History,Jennings
2859435896,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Acer,Acer rubrum,,SPECIES,Acer rubrum L.,US,39.901497,-78.516128,1962-05-12T00:00:00,12,5,1962,3189883,3189883,PRESERVED_SPECIMEN,CM,CM063398,20801,CC0_1_0,Carnegie Museum of Natural History,Berkheimer
2859435895,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Acer,Acer rubrum,rubrum,VARIETY,Acer rubrum var. rubrum,US,40.866632,-78.835788,1959-05-30T00:00:00,30,5,1959,7990464,3189883,PRESERVED_SPECIMEN,CM,CM063380,s.n.,CC0_1_0,Carnegie Museum of Natural History,Henry
2859435892,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Acer,Acer rubrum,,SPECIES,Acer rubrum L.,US,40.635067,-80.228116,1927-02-12T00:00:00,12,2,1927,3189883,3189883,PRESERVED_SPECIMEN,CM,CM063326,s.n.,CC0_1_0,Carnegie Museum of Natural History,Graham
2859435891,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Acer,Acer rubrum,,SPECIES,Acer rubrum L.,US,42.163531,-80.101233,,,,,3189883,3189883,PRESERVED_SPECIMEN,CM,CM063299,s.n.,CC0_1_0,Carnegie Museum of Natural History,Jennings
2859435890,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Acer,Acer rubrum,,SPECIES,Acer rubrum L.,US,40.50191,-79.852754,1919-04-05T00:00:00,5,4,1919,3189883,3189883,PRESERVED_SPECIMEN,CM,CM063280,s.n.,CC0_1_0,Carnegie Museum of Natural History,Gress
2859435889,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Acer,Acer rubrum,,SPECIES,Acer rubrum L.,US,40.494513,-79.92644,1904-04-25T00:00:00,25,4,1904,3189883,3189883,PRESERVED_SPECIMEN,CM,CM063261,s.n.,CC0_1_0,Carnegie Museum of Natural History,Jennings
2859435888,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Acer,Acer rubrum,,SPECIES,Acer rubrum L.,US,39.931458,-75.605625,1950-09-27T00:00:00,27,9,1950,3189883,3189883,PRESERVED_SPECIMEN,CM,CM063242,s.n.,CC0_1_0,Carnegie Museum of Natural History,Henry
